Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"奢香夫人","凤凰传奇","最炫民族风","Favorite Songs","Favorite","HKG732134620","1kyrRX3GllM0vCY95fjCYx"
"离别开出花","就是南方凯","离别开出花","Favorite Songs","Favorite","CNZ632300929","0nzl7sJKKNRzCbY7plUozi"
"堕 - 合唱版","陆火火","堕 (合唱版)","Favorite Songs","Favorite","DGA082534425","2nxubgtMuovXjjTvDzUfhG"
"Desperate Measures","Piotr Musiał","Desperate Measures","Favorite Songs","Favorite","PL6L62600001","1GgGRZQYIbee8UZyO9ct1j"
"期许","洋澜一","期许","Favorite Songs","Favorite","HKD012801210","49qJ8SVFCyJaPrsvKv731A"
"Time Go Fishing - from ""Project Hail Mary""","Daniel Pemberton","Project Hail Mary (Original Motion Picture Score)","Favorite Songs","Favorite","USQX92601743","6odjHeBKXP6fvV9v0QRUOw"
"Up the Spirit Caverns Walls (feat. Tom Boyd)","Gareth Coker","Ori and the Blind Forest (Original Soundtrack)","Favorite Songs","Favorite","USQY51530235","4kpj1CPGBy2D8zK7ONHlaL"
"Valse di Fantastica","Yoko Shimomura","FINAL FANTASY XV Original Soundtrack","Favorite Songs","Favorite","JPA841600328","2aasu7RADsAivfL00Ivj8A"
"The Spirit Tree (feat. Aeralie Brighton)","Gareth Coker","Ori and the Blind Forest (Original Soundtrack)","Favorite Songs","Favorite","USQY51530236","2RUAvlJsPhZe3w6P0i7Zsi"
"Not Alone (From ""Final Fantasy IX"")","Nobuo Uematsu","Distant Worlds III: More Music from Final Fantasy","Favorite Songs","Favorite","USBVN1510804","0VaKMRmF20H5aTJvlUtkac"
"The Power - Orchestral Version","Borislav Slavov","Baldur's Gate 3 (Original Game Soundtrack)","Favorite Songs","Favorite","BGA472329218","4PK8w6i17WXWz8pS7CabBQ"
"Aire on the Side of Love","chuck e. myers 'sea'","Hogwarts Legacy (Study Themes from the Original Video Game Soundtrack)","Favorite Songs","Favorite","USNLR2300095","2iDc9KmT8DnhEUzjIxkeET"
"Grasslands Vivarium","chuck e. myers 'sea'","Hogwarts Legacy (Original Video Game Soundtrack)","Favorite Songs","Favorite","USNLR2300038","2ciUfM94fjrChfHnfw2aOu"
"Coastal Vivarium","J Scott Rakozy","Hogwarts Legacy (Original Video Game Soundtrack)","Favorite Songs","Favorite","USNLR2300050","35kQjB7L7X9kUnYYWDDulU"
"Blood Run","Piotr Musiał","The Witcher 3: Wild Hunt - Blood and Wine (Official Soundtrack)","Favorite Songs","Favorite","PLI367712690","1kWE4oOlepuE10IVQRX5o2"
"Blood And Wine","Marcin Przybyłowicz","The Witcher 3: Wild Hunt - Blood and Wine (Official Soundtrack)","Favorite Songs","Favorite","PLI367712530","5Ukx5Eo3eEHiCmgNaGcf67"
"Geralt of Rivia","Sonya Belousova","The Witcher (Music from the Netflix Original Series)","Favorite Songs","Favorite","USQX92000197","1hDwBeBz3G5xVYftAjK2BQ"
"Geralt Of Rivia","Marcin Przybyłowicz","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Favorite Songs","Favorite","PLI361610590","5tmhUzJuP7XwqCHglyqnt8"
"Toss A Coin To Your Witcher","Sonya Belousova","The Witcher (Music from the Netflix Original Series)","Favorite Songs","Favorite","USQX92000198","2KMLGJ1mPfRE4GNdL92rl3"
"知否知否 - ""知否知否应是绿肥红瘦"" 电视剧主题曲","Hu Xia","知否知否 (""知否知否应是绿肥红瘦"" 电视剧主题曲)","Favorite Songs","Favorite","FRX201860339","58XI7GWbSNjhltlsrUz6pt"
"浮生","不才","浮生","Favorite Songs","Favorite","DGA0M2317546","4KOwKFlGwOp3iScJz74KaD"
"五十年以后","海来阿木","五十年以后","Favorite Songs","Favorite","HKG732152906","0kgs92vcvTsH2zwabta6Ts"
